X,Y,Name,description,OBJECTID,Id,Nombre,No_Res_Vi,Area_Res,Región,Categoría,Cos_Adulto,Cos_Ninos,Alojamie,Camping,SHAPE_Leng,ShapeSTArea,ShapeSTLength
-76.1166343891359,1.59036780361218,,,28,33,CUEVA DE LOS GUACHAROS,RESOLUCION 397  DE 17/12/1995,9000,Andes Occidentales,Parque Nacional,12500,8000,Si,Si,0.41595703,74816464.1977539,46312.3472177741
-75.9675025150358,2.97117292789462,,,29,35,NEVADO DEL HUILA,RESOLUCION 149 DE 6/06/1977,158000,Andes Occidentales,Parque Nacional,,,No,No,7.93209656,1674812081.00293,883617.797594033
-76.3033977844789,1.35381574248108,,,30,36,SERRANIA DE LOS CHURUMBELOS,RESOLUCION 1311 DE 23/07/2007,97189.6,Amazonía,Parque Nacional,,,No,No,2.43245168,978705617.28772,270816.130510347
-73.5184263549848,4.55743174107583,,,31,37,CHINGAZA,RESOLUCION 0550 DE 19/06/1998,76600,Orinoquía,Parque Nacional,12500,8000,Si,Si,3.22645888,793040139.675781,359762.563191707
-68.497011560827,5.27742251832564,,,32,38,EL TUPARRO,RESOLUCION 0264 DE 25/09/1980,548000,Orinoquía,Parque Nacional,,,No,No,5.86341381,5648159951.06421,654040.790476267
-74.6607253468838,2.83652575167903,,,33,39,CORDILLERA DE LOS PICACHOS,RESOLUCION 0048 DE 16/03/1988,444740,Orinoquía,Parque Nacional,,,No,No,3.2182665,2908826217.73706,358480.371519741
-74.2027120100134,2.49607387248127,,,34,40,TINIGUA,DECRETO 1989 DE 01/09/1989,201875,Orinoquía,Parque Nacional,,,No,No,2.8959425,2171439412.50757,322519.237297567
-77.4700210395809,3.9707113009151,,,37,43,URAMBA BAHÍA MÁLAGA,RESOLUCIÓN 1501 DE 04/08/2010,47094,Pacífico,Parque Nacional,,,No,No,1.64944308,476352302.879639,183811.831408183
-74.5062639991493,10.7326548553868,,,38,44,CIÉNAGA GRANDE DE SANTA MARTA,RESOLUCION 0168 DE 06/06/1977,26810,Caribe,Santuario de Fauna y Flora,,,No,No,1.58141464,288067077.341797,177713.7856549
-70.0869596023332,-3.42658332028339,,,39,45,AMACAYACU,RESOLUCION 0010 DE 11/02/1988,293500,Amazonía,Parque Nacional,15000,8000,No,No,3.62381861,2651180472.7229,403777.124445908
-70.1233028975341,-1.9443347421767,,,40,46,RÍO PURÉ,RESOLUCION 0764 DE 05/08/2002,999880,Amazonía,Parque Nacional,,,No,No,5.8736823,9951877283.44482,654070.763242055
-71.4752374710395,1.88229048361539,,,41,47,NUKAK,RESOLUCION 0122 DE 21/09/1989,855000,Amazonía,Reserva Natural,,,No,No,8.0891931,8945919824.62488,900775.409318215
-73.9693474968059,2.78503738589745,,,42,48,SIERRA DE LA MACARENA,DECRETO 1989 DE 01/09/1989,630000,Orinoquía,Parque Nacional,,,No,No,8.96096194,6111172130.12366,998088.061992518
-72.6809952990592,0.687693952022567,,,43,49,SERRANÍA DE CHIRIBIQUETE,RESOLUCION 0120 DE 21/09/1989,2763398.73,Amazonía,Parque Nacional,,,No,No,13.24985182,27988922296.194,1475038.23949443
-75.1689486711912,0.14639004284834,,,44,50,LA PAYA,RESOLUCION 0160 DE 24/08/1984,422000,Amazonía,Parque Nacional,,,No,No,4.28410752,4452386252.66625,476907.406743668
